Marca temporal,Puntuación,¿CUÁL ES TU GÉNERO?,¿QUÉ EDAD TIENES? (AÑOS),¿QUÉ MEDIO DE TRANSPORTE POSEES?,¿DE QUÉ TIPO DE TRANSMISIÓN ES TU PRINCIPAL MEDIO DE TRANSPORTE?,¿CON QUE FRECUENCIA UTILIZAS ESTE MEDIO DE TRANSPORTE?,¿APROXIMADAMENTE CUÁNTO TIEMPO LLEVAS CON ESTE MEDIO DE TRANSPORTE?,¿APROXIMADAMENTE CUÁNTO DINERO GASTAS EN COMBUSTIBLE A LA SEMANA? (EN PESOS MEXICANOS),¿CADA CUÁNTO TIEMPO LE REALIZAS EL SERVICIO A TU VEHÍCULO O MOTOCICLETA? ,"EN CASO DE TENER MOTOCICLETA, ADEMÁS DEL CASCO ¿UTILIZAS ALGÚN OTRO TIPO DE PROTECCIÓN?",¿A QUÉ VELOCIDAD PROMEDIO CONDUCES?,¿HAS TENIDO ALGÚN ACCIDENTE?
12/09/2022 21:23:50,,HOMBRE,23,AUTOMÓVIL,AUTOMÁTICA,A VECES,3 AÑOS,$200-$250,MÁS DE 1 AÑO,NO,50-60 KM/H,NO
13/09/2022 7:21:10,,HOMBRE,40,POSEO AMBOS,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,$100-$150,6 MESES,NO,40-50 KM/H,SI
13/09/2022 10:37:37,,MUJER,22,AUTOMÓVIL,MANUAL,DIARIO,2 AÑOS,$400-$500,6 MESES,SI,40-50 KM/H,NO
13/09/2022 10:41:56,,HOMBRE,23,AUTOMÓVIL,AUTOMÁTICA,CASI DIARIO,MENOS DE 1 AÑO,MÁS DE $500,2 MESES,NO POSEO UNA MOTOCICLETA,90-110 KM/H,NO
13/09/2022 10:43:47,,HOMBRE,24,MOTOCICLETA,MANUAL,CASI DIARIO,MENOS DE 1 AÑO,MENOS DE $100,6 MESES,NO,40-50 KM/H,NO
13/09/2022 11:15:24,,HOMBRE,22,MOTOCICLETA,MANUAL,DIARIO,1 AÑO,$200-$250,3 MESES,SI,90-110 KM/H,SI
13/09/2022 11:31:02,,HOMBRE,23,AUTOMÓVIL,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,MÁS DE $500,3 MESES,NO POSEO UNA MOTOCICLETA,60-90 KM/H,SI
13/09/2022 11:40:55,,HOMBRE,36,POSEO AMBOS,AUTOMÁTICA,CASI DIARIO,MÁS DE 5 AÑOS,$300-$350,3 MESES,NO,50-60 KM/H,SI
13/09/2022 11:55:10,,MUJER,21,AUTOMÓVIL,AUTOMÁTICA,DIARIO,2 AÑOS,MÁS DE $500,6 MESES,NO POSEO UNA MOTOCICLETA,60-90 KM/H,NO
13/09/2022 11:55:40,,MUJER,28,AUTOMÓVIL,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,MÁS DE $500,6 MESES,NO POSEO UNA MOTOCICLETA,60-90 KM/H,NO
13/09/2022 12:10:25,,HOMBRE,24,AUTOMÓVIL,AUTOMÁTICA,DIARIO,MENOS DE 1 AÑO,$200-$250,6 MESES,SI,50-60 KM/H,NO
13/09/2022 12:20:55,,HOMBRE,24,POSEO AMBOS,MANUAL,DIARIO,MÁS DE 5 AÑOS,$200-$250,3 MESES,SI,60-90 KM/H,SI
13/09/2022 12:23:04,,MUJER,24,AUTOMÓVIL,MANUAL,DIARIO,MÁS DE 5 AÑOS,MÁS DE $500,6 MESES,SI,90-110 KM/H,NO
13/09/2022 14:35:26,,MUJER,23,AUTOMÓVIL,AUTOMÁTICA,A VECES,2 AÑOS,$200-$250,3 MESES,NO POSEO UNA MOTOCICLETA,60-90 KM/H,NO
13/09/2022 15:31:24,,MUJER,22,AUTOMÓVIL,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,$400-$500,6 MESES,NO POSEO UNA MOTOCICLETA,50-60 KM/H,NO
13/09/2022 15:39:12,,MUJER,22,AUTOMÓVIL,AUTOMÁTICA,DIARIO,4 AÑOS,$100-$150,6 MESES,NO,60-90 KM/H,SI
13/09/2022 15:51:18,,MUJER,25,MOTOCICLETA,AUTOMÁTICA,CASI DIARIO,MÁS DE 5 AÑOS,$100-$150,DE 7 MESES A 1 AÑO,NO,40-50 KM/H,SI
13/09/2022 17:44:15,,HOMBRE,31,AUTOMÓVIL,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,MÁS DE $500,6 MESES,NO POSEO UNA MOTOCICLETA,90-110 KM/H,NO
13/09/2022 18:21:43,,HOMBRE,21,AUTOMÓVIL,AUTOMÁTICA,DIARIO,1 AÑO,$400-$500,6 MESES,NO POSEO UNA MOTOCICLETA,60-90 KM/H,NO
13/09/2022 18:51:09,,MUJER,23,POSEO AMBOS,AUTOMÁTICA,CASI DIARIO,MENOS DE 1 AÑO,MENOS DE $100,MÁS DE 1 AÑO,NO,60-90 KM/H,SI
13/09/2022 19:03:53,,HOMBRE,22,MOTOCICLETA,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,$100-$150,2 MESES,NO,50-60 KM/H,NO
13/09/2022 19:19:09,,HOMBRE,22,POSEO AMBOS,MANUAL,DIARIO,MÁS DE 5 AÑOS,MÁS DE $500,DE 7 MESES A 1 AÑO,NO,90-110 KM/H,NO
13/09/2022 20:13:48,,HOMBRE,22,AUTOMÓVIL,AUTOMÁTICA,DIARIO,3 AÑOS,$100-$150,6 MESES,NO,40-50 KM/H,NO
13/09/2022 20:49:14,,HOMBRE,30,AUTOMÓVIL,AUTOMÁTICA,A VECES,MÁS DE 5 AÑOS,$200-$250,3 MESES,NO POSEO UNA MOTOCICLETA,50-60 KM/H,NO
13/09/2022 21:42:04,,HOMBRE,21,POSEO AMBOS,AUTOMÁTICA,DIARIO,4 AÑOS,$300-$350,DE 7 MESES A 1 AÑO,NO,40-50 KM/H,NO
13/09/2022 21:49:53,,MUJER,22,MOTOCICLETA,AUTOMÁTICA,CASI DIARIO,2 AÑOS,$100-$150,DE 7 MESES A 1 AÑO,NO,40-50 KM/H,NO
13/09/2022 22:23:47,,HOMBRE,25,AUTOMÓVIL,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,$300-$350,DE 7 MESES A 1 AÑO,NO,60-90 KM/H,NO
13/09/2022 22:24:29,,MUJER,26,POSEO AMBOS,AUTOMÁTICA,DIARIO,2 AÑOS,$400-$500,6 MESES,NO,60-90 KM/H,NO
13/09/2022 22:25:01,,HOMBRE,24,POSEO AMBOS,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,$300-$350,6 MESES,NO,50-60 KM/H,NO
13/09/2022 22:26:07,,HOMBRE,21,MOTOCICLETA,MANUAL,DIARIO,4 AÑOS,$200-$250,3 MESES,NO,60-90 KM/H,SI
13/09/2022 22:27:48,,MUJER,20,MOTOCICLETA,AUTOMÁTICA,CASI DIARIO,MÁS DE 5 AÑOS,$100-$150,MÁS DE 1 AÑO,NO,40-50 KM/H,NO
13/09/2022 22:54:07,,HOMBRE,23,MOTOCICLETA,AUTOMÁTICA,DIARIO,3 AÑOS,$100-$150,3 MESES,NO,50-60 KM/H,NO
13/09/2022 22:56:08,,MUJER,21,MOTOCICLETA,AUTOMÁTICA,DIARIO,1 AÑO,MENOS DE $100,3 MESES,NO,40-50 KM/H,NO
13/09/2022 22:56:38,,HOMBRE,22,POSEO AMBOS,MANUAL,CASI DIARIO,2 AÑOS,$200-$250,2 MESES,SI,60-90 KM/H,NO
13/09/2022 22:57:08,,HOMBRE,23,AUTOMÓVIL,MANUAL,CASI DIARIO,3 AÑOS,$200-$250,3 MESES,NO POSEO UNA MOTOCICLETA,60-90 KM/H,NO
14/09/2022 10:02:44,,HOMBRE,23,POSEO AMBOS,MANUAL,DIARIO,MÁS DE 5 AÑOS,$400-$500,6 MESES,NO,90-110 KM/H,SI
14/09/2022 11:19:43,,MUJER,32,MOTOCICLETA,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,$100-$150,6 MESES,NO,50-60 KM/H,SI
14/09/2022 23:18:58,,HOMBRE,22,AUTOMÓVIL,AUTOMÁTICA,DIARIO,MÁS DE 5 AÑOS,$400-$500,DE 7 MESES A 1 AÑO,NO,40-50 KM/H,SI